split,sampling_step,branch,layer,method,router,density,tail_group_size,records,aggregate_output_relative_l2,record_error_p95,record_error_max,selected_attention_mass_mean,attention_work_ratio_mean,flop_proxy_speedup
calibration,0,cond,0,centroid,oracle_mass,0.375,4,12,0.09033654421700603,0.3249807329646951,0.43061152410578807,0.7606946031252543,0.5469169719169719,1.8284310989562986
calibration,0,cond,0,centroid,oracle_mass,0.375,8,12,0.10415152683156653,0.37545605822255473,0.4985668236566446,0.7606946031252543,0.46879833129833126,2.1331133949016245
calibration,0,cond,14,centroid,moment,0.125,16,12,0.19691651924098913,0.3170118416139998,0.3614523057705306,0.5498437583446503,0.1952787952787953,5.120883701542309
calibration,0,cond,14,centroid,moment,0.125,4,12,0.17828245317819297,0.27225520782567136,0.2991685654245645,0.5498437583446503,0.35934065934065934,2.782874617737003
calibration,0,cond,14,centroid,moment,0.125,8,12,0.18979772423514474,0.2956006117335998,0.33601626064702417,0.5498437583446503,0.24995929995929997,4.000651306684035
calibration,0,cond,14,centroid,moment,0.25,16,12,0.1349554364128018,0.23186100997681552,0.2416919317051057,0.6923791716496149,0.31241351241351234,3.200885878061491
calibration,0,cond,14,centroid,moment,0.25,4,12,0.12117669090313524,0.2009353225586345,0.21083410174451764,0.6923791716496149,0.45305250305250316,2.2072496968063597
calibration,0,cond,14,centroid,moment,0.25,8,12,0.12981028206126882,0.2200881403902441,0.23047283729265275,0.6923791716496149,0.35928978428978425,2.7832686698196034
calibration,0,cond,14,centroid,moment,0.375,16,12,0.0973523038501822,0.16995787877596813,0.17690232755786403,0.7794321725765864,0.42960927960927964,2.3276964615603237
calibration,0,cond,14,centroid,moment,0.375,4,12,0.08805574016207962,0.15145458563196113,0.158530894426811,0.7794321725765864,0.5468101343101343,1.8287883439863792
calibration,0,cond,14,centroid,moment,0.375,8,12,0.09400497187240958,0.1634407439895924,0.17070965633220012,0.7794321725765864,0.4686736874236875,2.1336806968981517
calibration,0,cond,14,centroid,oracle_mass,0.125,16,12,0.18761157749712395,0.32101177310473916,0.38857146275677173,0.565028578042984,0.19531949531949533,5.119816628464263
calibration,0,cond,14,centroid,oracle_mass,0.125,4,12,0.164899696671543,0.26534072121368996,0.31554487116620716,0.565028578042984,0.35937118437118437,2.782638240040771
calibration,0,cond,14,centroid,oracle_mass,0.125,8,12,0.17878568068820808,0.29800473344181466,0.35825676560111763,0.565028578042984,0.24999491249491249,4.000081401737927
calibration,0,cond,14,centroid,oracle_mass,0.25,16,12,0.12950333784797366,0.22548142509184343,0.2899972533137297,0.7122394243876139,0.31251526251526246,3.1998437194764606
calibration,0,cond,14,centroid,oracle_mass,0.25,4,12,0.11271540684056676,0.1909318477787067,0.2418861930044584,0.7122394243876139,0.45312881562881574,2.206877968271076
calibration,0,cond,14,centroid,oracle_mass,0.25,8,12,0.12318301487832688,0.21227219700923794,0.27123285858696966,0.7122394243876139,0.35937881562881563,2.782579151890939
calibration,0,cond,14,centroid,oracle_mass,0.375,16,12,0.09231155905765244,0.16430975333931674,0.20198402329723744,0.8012622048457464,0.4296499796499797,2.327475962677023
calibration,0,cond,14,centroid,oracle_mass,0.375,4,12,0.0809329660398171,0.14188887370057032,0.17379574544696713,0.8012622048457464,0.5468406593406593,1.8286862597337354
calibration,0,cond,14,centroid,oracle_mass,0.375,8,12,0.0880634270477311,0.1559411025792874,0.19157287462944014,0.8012622048457464,0.46870929995929994,2.1335185798251377
calibration,0,cond,29,centroid,moment,0.125,16,12,0.02505633681822575,0.03915488469319192,0.04268851289475986,0.6843516578276952,0.19536019536019536,5.11875
calibration,0,cond,29,centroid,moment,0.125,4,12,0.01466802562384348,0.02476807209979906,0.02702979692935229,0.6843516578276952,0.3594017094017094,2.7824019024970275
calibration,0,cond,29,centroid,moment,0.125,8,12,0.02015553710759799,0.031476152353604056,0.036729257138696646,0.6843516578276952,0.25003052503052503,3.9995116591380784
calibration,0,cond,29,centroid,moment,0.25,16,12,0.018627718882666896,0.030615583979190134,0.03234501102996496,0.7720048651099205,0.31253561253561246,3.199635369188697
calibration,0,cond,29,centroid,moment,0.25,4,12,0.010889284685945098,0.01795597128701201,0.020035148735518395,0.7720048651099205,0.45314407814407826,2.206803637588413
calibration,0,cond,29,centroid,moment,0.25,8,12,0.015120511383402627,0.0245616753069917,0.027735993334855165,0.7720048651099205,0.35939662189662186,2.782441289299719
calibration,0,cond,29,centroid,moment,0.375,16,12,0.013926472252511481,0.023139457327979174,0.02337525910588793,0.8343392784396807,0.4297313797313798,2.327035090211677
calibration,0,cond,29,centroid,moment,0.375,4,12,0.00798672556250555,0.013253778363686623,0.014369427354212037,0.8343392784396807,0.5469017094017093,1.8284821254151202
calibration,0,cond,29,centroid,moment,0.375,8,12,0.011199924603466528,0.018471004325553778,0.020146937271392013,0.8343392784396807,0.46878052503052503,2.133194419573817
calibration,0,cond,29,centroid,oracle_mass,0.125,16,12,0.024907560587941302,0.039408904296086886,0.04324778434604617,0.686828251928091,0.19536019536019536,5.11875
calibration,0,cond,29,centroid,oracle_mass,0.125,4,12,0.014697204619265334,0.024800394183367123,0.02721405387346248,0.686828251928091,0.3594017094017094,2.7824019024970275
calibration,0,cond,29,centroid,oracle_mass,0.125,8,12,0.02013284359590494,0.03150710691984415,0.037041876599712885,0.686828251928091,0.25003052503052503,3.9995116591380784
calibration,0,cond,29,centroid,oracle_mass,0.25,16,12,0.01847449487395758,0.03045572125846277,0.032101590202991616,0.7730720614393553,0.3125763125763125,3.1992187500000004
calibration,0,cond,29,centroid,oracle_mass,0.25,4,12,0.010848560077479748,0.01788071591344306,0.019936527070303276,0.7730720614393553,0.4531746031746033,2.206654991243432
calibration,0,cond,29,centroid,oracle_mass,0.25,8,12,0.015029843949669984,0.024438265415417798,0.027563496695231428,0.7730720614393553,0.35943223443223443,2.7821656050955412
calibration,0,cond,29,centroid,oracle_mass,0.375,16,12,0.013891735435823184,0.022967052948038566,0.0233782312399395,0.8350869392355283,0.42975172975172987,2.326924898191116
calibration,0,cond,29,centroid,oracle_mass,0.375,4,12,0.008054229787019963,0.013393852987720202,0.014503622006147928,0.8350869392355283,0.5469169719169719,1.8284310989562986
calibration,0,cond,29,centroid,oracle_mass,0.375,8,12,0.011212777167407812,0.01844509332098203,0.020230234163514712,0.8350869392355283,0.46879833129833126,2.1331133949016245
calibration,19,cond,0,centroid,moment,0.125,16,12,0.024869032621601436,0.07719160876254921,0.08170838653783105,0.6310185641050339,0.19533984533984536,5.119283258672778
calibration,19,cond,0,centroid,moment,0.125,4,12,0.016756799645971588,0.05670495664380171,0.059154537514460204,0.6310185641050339,0.3593864468864469,2.782520066250478
calibration,19,cond,0,centroid,moment,0.125,8,12,0.02137025342385853,0.06913910399019677,0.07293086155710334,0.6310185641050339,0.25001271876271874,3.9997965101490567
calibration,19,cond,0,centroid,moment,0.25,16,12,0.018822377827588214,0.05866754461636374,0.06345263282222763,0.7090102831522623,0.31255596255596246,3.199427046031644
calibration,19,cond,0,centroid,moment,0.25,4,12,0.013186231702823554,0.04321771430284739,0.04620614022291074,0.7090102831522623,0.45315934065934077,2.2067293119127003
calibration,19,cond,0,centroid,moment,0.25,8,12,0.01655852156810664,0.05257737320952696,0.05700597337774141,0.7090102831522623,0.3594144281644282,2.7823034403685956
calibration,19,cond,0,centroid,moment,0.375,16,12,0.014723359574478683,0.04571772538178813,0.050453078628216394,0.7699029445648193,0.42975172975172987,2.326924898191116
calibration,19,cond,0,centroid,moment,0.375,4,12,0.01044362248840444,0.033087641913172594,0.03690366093400803,0.7699029445648193,0.5469169719169719,1.8284310989562986
calibration,19,cond,0,centroid,moment,0.375,8,12,0.013086197087373103,0.040871269054313424,0.04544137861906346,0.7699029445648193,0.46879833129833126,2.1331133949016245
calibration,19,cond,0,centroid,oracle_mass,0.125,16,12,0.023902534281307435,0.0762889351153203,0.08055433545559876,0.6333135267098745,0.19533984533984536,5.119283258672778
calibration,19,cond,0,centroid,oracle_mass,0.125,4,12,0.016334227267090655,0.05617155586775286,0.05857651572043048,0.6333135267098745,0.3593864468864469,2.782520066250478
calibration,19,cond,0,centroid,oracle_mass,0.125,8,12,0.0207351782982122,0.06843174973528016,0.07217679788333291,0.6333135267098745,0.25001271876271874,3.9997965101490567
