dataset,scope,method,retention_rate,samples,answer_score_mean,prediction_agreement_mean,teacher_nll_mean,teacher_nll_token_weighted,supervised_tokens
all,main,logic_router_fixed_slots_exact_fallback,0.125,360,0.6435185185185185,0.7805555555555556,0.9296167881140718,1.0103218417333681,1609
all,main,logic_router_fixed_slots_exact_fallback,0.25,360,0.6370370370370371,0.7972222222222223,0.9241220220561243,1.0048769775308053,1609
all,reference,none,,360,0.6805555555555556,1.0,0.811749527274838,0.8822392383426824,1609
chartqa,ablation,base_vq_residual_rvq_unweighted,0.125,120,0.625,0.7833333333333333,0.4535567468420292,0.5662935167696813,575
chartqa,ablation,base_vq_residual_rvq_unweighted,0.25,120,0.6166666666666667,0.7833333333333333,0.4572603006983021,0.5681949966902966,575
chartqa,baseline,tile_energy_exception,0.125,120,0.6333333333333333,0.825,0.4470354115706868,0.5662626279275055,575
chartqa,baseline,tile_energy_exception,0.25,120,0.6333333333333333,0.85,0.4413692802501222,0.5569857945722406,575
chartqa,baseline,tile_lowpass,0.125,120,0.6083333333333333,0.8333333333333334,0.4492364372941665,0.5654184335567382,575
chartqa,baseline,tile_lowpass,0.25,120,0.6333333333333333,0.8333333333333334,0.4389589209846842,0.5549045410476949,575
chartqa,baseline,tile_risk_exception,0.125,120,0.6333333333333333,0.825,0.4467660176490123,0.5661926854272251,575
chartqa,baseline,tile_risk_exception,0.25,120,0.6333333333333333,0.8583333333333333,0.4410565017877767,0.5563653472422257,575
chartqa,main,base_scalar_quant,0.125,120,0.625,0.8333333333333334,0.4506760068354197,0.5647132727406595,575
chartqa,main,base_scalar_quant,0.25,120,0.625,0.8416666666666667,0.4407569394369299,0.5552241555342208,575
chartqa,main,base_vq,0.125,120,0.6166666666666667,0.7666666666666667,0.450859601116584,0.5627340830862522,575
chartqa,main,base_vq,0.25,120,0.6083333333333333,0.775,0.4490252791593472,0.5579204629555993,575
chartqa,main,base_vq_logic_router,0.125,120,0.625,0.8166666666666667,0.4530929166125134,0.5650808716403402,575
chartqa,main,base_vq_logic_router,0.25,120,0.625,0.7666666666666667,0.45047164757270364,0.5598798635051302,575
chartqa,main,base_vq_mlp_router,0.125,120,0.6166666666666667,0.7916666666666666,0.45185716420334454,0.564039508152915,575
chartqa,main,base_vq_mlp_router,0.25,120,0.6166666666666667,0.775,0.4447911892668344,0.5558221233733323,575
chartqa,main,base_vq_residual_rvq,0.125,120,0.625,0.7916666666666666,0.4549044584816632,0.5659966038426627,575
chartqa,main,base_vq_residual_rvq,0.25,120,0.6166666666666667,0.7916666666666666,0.4556014042541695,0.5660004869832292,575
chartqa,main,logic_router_fixed_slots,0.125,120,0.625,0.7916666666666666,0.4549176338963055,0.5662289535319027,575
chartqa,main,logic_router_fixed_slots,0.25,120,0.6166666666666667,0.7833333333333333,0.45139510174437114,0.5649364169606048,575
chartqa,main,logic_router_fixed_slots_exact_fallback,0.125,120,0.6166666666666667,0.7916666666666666,0.4553166092916702,0.5666261577492823,575
chartqa,main,logic_router_fixed_slots_exact_fallback,0.25,120,0.6166666666666667,0.8166666666666667,0.4569914975009548,0.5703958755682992,575
chartqa,reference,none,,120,0.6666666666666666,1.0,0.41666516329084213,0.534509588215986,575
gqa,ablation,base_vq_residual_rvq_unweighted,0.125,120,0.675,0.8916666666666667,0.7048736641687962,0.7141928853378295,388
gqa,ablation,base_vq_residual_rvq_unweighted,0.25,120,0.6916666666666667,0.8916666666666667,0.6892304724586817,0.6998979994131866,388
gqa,baseline,tile_energy_exception,0.125,120,0.6916666666666667,0.9416666666666667,0.6533940327625412,0.6681254037725499,388
gqa,baseline,tile_energy_exception,0.25,120,0.7083333333333334,0.9583333333333334,0.6655649087236574,0.680185209378869,388
gqa,baseline,tile_lowpass,0.125,120,0.6833333333333333,0.9416666666666667,0.6434089202511435,0.6581430158544255,388
gqa,baseline,tile_lowpass,0.25,120,0.725,0.95,0.6507210844545626,0.6666495271984815,388
gqa,baseline,tile_risk_exception,0.125,120,0.6916666666666667,0.95,0.654508508365446,0.6689231638981452,388
gqa,baseline,tile_risk_exception,0.25,120,0.7083333333333334,0.9583333333333334,0.665919257964318,0.6801850969096664,388
gqa,main,base_scalar_quant,0.125,120,0.6916666666666667,0.925,0.651524111223019,0.6666038250916676,388
gqa,main,base_scalar_quant,0.25,120,0.7083333333333334,0.925,0.6644187301048078,0.6796792398276499,388
gqa,main,base_vq,0.125,120,0.6833333333333333,0.8916666666666667,0.6873917528272917,0.6983050090049576,388
gqa,main,base_vq,0.25,120,0.675,0.8666666666666667,0.7187435123526181,0.7291055003963602,388
gqa,main,base_vq_logic_router,0.125,120,0.675,0.9,0.7033351658377797,0.7131269191891032,388
gqa,main,base_vq_logic_router,0.25,120,0.6833333333333333,0.9,0.68195303545023,0.6940275678487936,388
gqa,main,base_vq_mlp_router,0.125,120,0.6833333333333333,0.8833333333333333,0.7036676306277514,0.7133980821818113,388
gqa,main,base_vq_mlp_router,0.25,120,0.6916666666666667,0.9083333333333333,0.680973531678319,0.6924057616132129,388
gqa,main,base_vq_residual_rvq,0.125,120,0.675,0.9,0.7077844584360719,0.7176112508420477,388
gqa,main,base_vq_residual_rvq,0.25,120,0.6833333333333333,0.9,0.6843189112725667,0.6959152031850704,388
gqa,main,logic_router_fixed_slots,0.125,120,0.6833333333333333,0.875,0.7047015624120831,0.7143359198475007,388
gqa,main,logic_router_fixed_slots,0.25,120,0.6916666666666667,0.8916666666666667,0.6773820248393653,0.6885206614556175,388
gqa,main,logic_router_fixed_slots_exact_fallback,0.125,120,0.7,0.8583333333333333,0.7079305074837369,0.7173806536767497,388
gqa,main,logic_router_fixed_slots_exact_fallback,0.25,120,0.6833333333333333,0.9083333333333333,0.6829014325048774,0.6946914850196504,388
gqa,reference,none,,120,0.7083333333333334,1.0,0.7046137356044103,0.7161565036032849,388
textvqa,ablation,base_vq_residual_rvq_unweighted,0.125,120,0.5833333333333334,0.6583333333333333,1.6930694402156707,1.644331360329519,646
textvqa,ablation,base_vq_residual_rvq_unweighted,0.25,120,0.5833333333333334,0.6583333333333333,1.6973676771507598,1.641648771909524,646
textvqa,baseline,tile_energy_exception,0.125,120,0.6,0.6666666666666666,1.5398917362947637,1.5050464514657371,646
textvqa,baseline,tile_energy_exception,0.25,120,0.6388888888888888,0.7166666666666667,1.4945857466149997,1.4612235091352725,646
textvqa,baseline,tile_lowpass,0.125,120,0.6111111111111112,0.7,1.5460588911897504,1.525422921678161,646
textvqa,baseline,tile_lowpass,0.25,120,0.6527777777777778,0.7083333333333334,1.486550038822073,1.462806011051669,646
textvqa,baseline,tile_risk_exception,0.125,120,0.6083333333333333,0.675,1.5202782881465586,1.4896152825347053,646
textvqa,baseline,tile_risk_exception,0.25,120,0.6472222222222223,0.725,1.4952380012943953,1.460744227184669,646
textvqa,main,base_scalar_quant,0.125,120,0.6083333333333333,0.6833333333333333,1.5517806841914232,1.528994139712794,646
textvqa,main,base_scalar_quant,0.25,120,0.6166666666666667,0.7,1.502961708662527,1.4801892963913486,646
textvqa,main,base_vq,0.125,120,0.5833333333333334,0.6666666666666666,1.7368802652480857,1.6744261615716451,646
textvqa,main,base_vq,0.25,120,0.575,0.6583333333333333,1.7379901506744015,1.6762389835869842,646
textvqa,main,base_vq_logic_router,0.125,120,0.5833333333333334,0.6583333333333333,1.6929328846182519,1.6393606509204561,646
textvqa,main,base_vq_logic_router,0.25,120,0.5916666666666667,0.675,1.7039580375674026,1.6430553956088485,646
textvqa,main,base_vq_mlp_router,0.125,120,0.5861111111111111,0.6666666666666666,1.6889680936699734,1.6353912163711797,646
textvqa,main,base_vq_mlp_router,0.25,120,0.5888888888888889,0.675,1.688346562422036,1.6345631084188634,646
textvqa,main,base_vq_residual_rvq,0.125,120,0.5861111111111111,0.675,1.6889785843590894,1.6404543834444332,646
textvqa,main,base_vq_residual_rvq,0.25,120,0.5916666666666667,0.6666666666666666,1.6961495317732138,1.639292924485426,646
textvqa,main,logic_router_fixed_slots,0.125,120,0.5861111111111111,0.675,1.6812661054253113,1.6291049044765245,646
textvqa,main,logic_router_fixed_slots,0.25,120,0.5972222222222222,0.6583333333333333,1.6681164597122309,1.6165882509573717,646
textvqa,main,logic_router_fixed_slots_exact_fallback,0.125,120,0.6138888888888889,0.6916666666666667,1.6256032475668083,1.5811983111711658,646
textvqa,main,logic_router_fixed_slots_exact_fallback,0.25,120,0.6111111111111112,0.6666666666666666,1.6324731361625406,1.577908873386485,646
textvqa,reference,none,,120,0.6666666666666666,1.0,1.3139696829292613,1.2915034022772593,646
