dataset,method,retention_rate,component_scope,component,samples,bits_mean,bits_min,bits_max
all,base_vq_residual_rvq_unweighted,0.25,shared,base_codebook,360,8454400,8454400,8454400
all,base_vq_residual_rvq_unweighted,0.25,shared,residual_codebooks,360,67371264,67371264,67371264
all,base_vq_residual_rvq_unweighted,0.25,stream,base_code_indices,360,1536,1536,1536
all,base_vq_residual_rvq_unweighted,0.25,stream,base_scale_indices,360,768,768,768
all,base_vq_residual_rvq_unweighted,0.25,stream,exact_fallback_payload,360,0,0,0
all,base_vq_residual_rvq_unweighted,0.25,stream,residual_code_indices,360,256,256,256
all,base_vq_residual_rvq_unweighted,0.25,stream,residual_count_header,360,9,9,9
all,base_vq_residual_rvq_unweighted,0.25,stream,residual_modes,360,32,32,32
all,base_vq_residual_rvq_unweighted,0.25,stream,residual_positions,360,128,128,128
all,base_vq_residual_rvq_unweighted,0.25,stream,residual_scale_indices,360,64,64,64
all,logic_router_fixed_slots,0.125,shared,base_codebook,360,8454400,8454400,8454400
all,logic_router_fixed_slots,0.125,shared,fixed_slot_positions,360,64,64,64
all,logic_router_fixed_slots,0.125,shared,logic_router,360,10119,10119,10119
all,logic_router_fixed_slots,0.125,shared,residual_codebooks,360,67371264,67371264,67371264
all,logic_router_fixed_slots,0.125,shared,router_curvature_prior,360,8192,8192,8192
all,logic_router_fixed_slots,0.125,stream,base_code_indices,360,768,768,768
all,logic_router_fixed_slots,0.125,stream,base_scale_indices,360,384,384,384
all,logic_router_fixed_slots,0.125,stream,exact_fallback_payload,360,0,0,0
all,logic_router_fixed_slots,0.125,stream,fixed_slot_modes,360,16,16,16
all,logic_router_fixed_slots,0.125,stream,fixed_slot_valid_mask,360,8,8,8
all,logic_router_fixed_slots,0.125,stream,residual_code_indices,360,128,128,128
all,logic_router_fixed_slots,0.125,stream,residual_scale_indices,360,32,32,32
all,logic_router_fixed_slots,0.25,shared,base_codebook,360,8454400,8454400,8454400
all,logic_router_fixed_slots,0.25,shared,fixed_slot_positions,360,128,128,128
all,logic_router_fixed_slots,0.25,shared,logic_router,360,10173,10173,10173
all,logic_router_fixed_slots,0.25,shared,residual_codebooks,360,67371264,67371264,67371264
all,logic_router_fixed_slots,0.25,shared,router_curvature_prior,360,8192,8192,8192
all,logic_router_fixed_slots,0.25,stream,base_code_indices,360,1536,1536,1536
all,logic_router_fixed_slots,0.25,stream,base_scale_indices,360,768,768,768
all,logic_router_fixed_slots,0.25,stream,exact_fallback_payload,360,0,0,0
all,logic_router_fixed_slots,0.25,stream,fixed_slot_modes,360,32,32,32
all,logic_router_fixed_slots,0.25,stream,fixed_slot_valid_mask,360,16,16,16
all,logic_router_fixed_slots,0.25,stream,residual_code_indices,360,256,256,256
all,logic_router_fixed_slots,0.25,stream,residual_scale_indices,360,64,64,64
all,logic_router_fixed_slots_exact_fallback,0.125,shared,base_codebook,360,8454400,8454400,8454400
all,logic_router_fixed_slots_exact_fallback,0.125,shared,fixed_slot_positions,360,64,64,64
all,logic_router_fixed_slots_exact_fallback,0.125,shared,logic_router,360,10119,10119,10119
all,logic_router_fixed_slots_exact_fallback,0.125,shared,residual_codebooks,360,67371264,67371264,67371264
all,logic_router_fixed_slots_exact_fallback,0.125,shared,router_curvature_prior,360,8192,8192,8192
all,logic_router_fixed_slots_exact_fallback,0.125,stream,base_code_indices,360,768,768,768
all,logic_router_fixed_slots_exact_fallback,0.125,stream,base_scale_indices,360,384,384,384
all,logic_router_fixed_slots_exact_fallback,0.125,stream,exact_fallback_payload,360,524288,524288,524288
all,logic_router_fixed_slots_exact_fallback,0.125,stream,fixed_slot_modes,360,16,16,16
all,logic_router_fixed_slots_exact_fallback,0.125,stream,fixed_slot_valid_mask,360,8,8,8
all,logic_router_fixed_slots_exact_fallback,0.125,stream,residual_code_indices,360,64,64,64
all,logic_router_fixed_slots_exact_fallback,0.125,stream,residual_scale_indices,360,16,16,16
all,logic_router_fixed_slots_exact_fallback,0.25,shared,base_codebook,360,8454400,8454400,8454400
all,logic_router_fixed_slots_exact_fallback,0.25,shared,fixed_slot_positions,360,128,128,128
all,logic_router_fixed_slots_exact_fallback,0.25,shared,logic_router,360,10173,10173,10173
all,logic_router_fixed_slots_exact_fallback,0.25,shared,residual_codebooks,360,67371264,67371264,67371264
all,logic_router_fixed_slots_exact_fallback,0.25,shared,router_curvature_prior,360,8192,8192,8192
all,logic_router_fixed_slots_exact_fallback,0.25,stream,base_code_indices,360,1536,1536,1536
all,logic_router_fixed_slots_exact_fallback,0.25,stream,base_scale_indices,360,768,768,768
all,logic_router_fixed_slots_exact_fallback,0.25,stream,exact_fallback_payload,360,524288,524288,524288
all,logic_router_fixed_slots_exact_fallback,0.25,stream,fixed_slot_modes,360,32,32,32
all,logic_router_fixed_slots_exact_fallback,0.25,stream,fixed_slot_valid_mask,360,16,16,16
all,logic_router_fixed_slots_exact_fallback,0.25,stream,residual_code_indices,360,192,192,192
all,logic_router_fixed_slots_exact_fallback,0.25,stream,residual_scale_indices,360,48,48,48
all,none,,stream,fp16_crop_tokens,360,33554432,33554432,33554432
all,tile_energy_exception,0.125,stream,fp16_base_coefficients,360,3145728,3145728,3145728
all,tile_energy_exception,0.125,stream,fp16_exact_residual,360,1048576,1048576,1048576
all,tile_energy_exception,0.125,stream,residual_count_header,360,9,9,9
all,tile_energy_exception,0.125,stream,residual_positions,360,64,64,64
all,tile_energy_exception,0.25,stream,fp16_base_coefficients,360,6291456,6291456,6291456
all,tile_energy_exception,0.25,stream,fp16_exact_residual,360,2097152,2097152,2097152
all,tile_energy_exception,0.25,stream,residual_count_header,360,9,9,9
all,tile_energy_exception,0.25,stream,residual_positions,360,128,128,128
all,tile_lowpass,0.125,stream,fp16_base_coefficients,360,4194304,4194304,4194304
all,tile_lowpass,0.25,stream,fp16_base_coefficients,360,8388608,8388608,8388608
all,tile_risk_exception,0.125,stream,fp16_base_coefficients,360,3145728,3145728,3145728
all,tile_risk_exception,0.125,stream,fp16_exact_residual,360,1048576,1048576,1048576
all,tile_risk_exception,0.125,stream,residual_count_header,360,9,9,9
all,tile_risk_exception,0.125,stream,residual_positions,360,64,64,64
all,tile_risk_exception,0.25,stream,fp16_base_coefficients,360,6291456,6291456,6291456
all,tile_risk_exception,0.25,stream,fp16_exact_residual,360,2097152,2097152,2097152
all,tile_risk_exception,0.25,stream,residual_count_header,360,9,9,9
all,tile_risk_exception,0.25,stream,residual_positions,360,128,128,128
chartqa,base_scalar_quant,0.125,stream,base_scalar_codes,120,1048576,1048576,1048576
chartqa,base_scalar_quant,0.125,stream,base_scalar_scales,120,4096,4096,4096
chartqa,base_scalar_quant,0.25,stream,base_scalar_codes,120,2097152,2097152,2097152
chartqa,base_scalar_quant,0.25,stream,base_scalar_scales,120,8192,8192,8192
chartqa,base_vq,0.125,shared,base_codebook,120,8454400,8454400,8454400
chartqa,base_vq,0.125,stream,base_code_indices,120,1024,1024,1024
chartqa,base_vq,0.125,stream,base_scale_indices,120,512,512,512
chartqa,base_vq,0.25,shared,base_codebook,120,8454400,8454400,8454400
chartqa,base_vq,0.25,stream,base_code_indices,120,2048,2048,2048
chartqa,base_vq,0.25,stream,base_scale_indices,120,1024,1024,1024
chartqa,base_vq_logic_router,0.125,shared,base_codebook,120,8454400,8454400,8454400
chartqa,base_vq_logic_router,0.125,shared,logic_router,120,10119,10119,10119
chartqa,base_vq_logic_router,0.125,shared,residual_codebooks,120,67371264,67371264,67371264
chartqa,base_vq_logic_router,0.125,shared,router_curvature_prior,120,8192,8192,8192
chartqa,base_vq_logic_router,0.125,stream,base_code_indices,120,768,768,768
chartqa,base_vq_logic_router,0.125,stream,base_scale_indices,120,384,384,384
chartqa,base_vq_logic_router,0.125,stream,exact_fallback_payload,120,0,0,0
chartqa,base_vq_logic_router,0.125,stream,residual_code_indices,120,125.73333333333333,112,128
chartqa,base_vq_logic_router,0.125,stream,residual_count_header,120,9,9,9
chartqa,base_vq_logic_router,0.125,stream,residual_modes,120,16.283333333333335,16,18
chartqa,base_vq_logic_router,0.125,stream,residual_positions,120,65.13333333333334,64,72
chartqa,base_vq_logic_router,0.125,stream,residual_scale_indices,120,32.56666666666667,32,36
chartqa,base_vq_logic_router,0.25,shared,base_codebook,120,8454400,8454400,8454400
chartqa,base_vq_logic_router,0.25,shared,logic_router,120,10173,10173,10173
chartqa,base_vq_logic_router,0.25,shared,residual_codebooks,120,67371264,67371264,67371264
chartqa,base_vq_logic_router,0.25,shared,router_curvature_prior,120,8192,8192,8192
chartqa,base_vq_logic_router,0.25,stream,base_code_indices,120,1536,1536,1536
chartqa,base_vq_logic_router,0.25,stream,base_scale_indices,120,768,768,768
chartqa,base_vq_logic_router,0.25,stream,exact_fallback_payload,120,0,0,0
chartqa,base_vq_logic_router,0.25,stream,residual_code_indices,120,256,256,256
chartqa,base_vq_logic_router,0.25,stream,residual_count_header,120,9,9,9
chartqa,base_vq_logic_router,0.25,stream,residual_modes,120,32,32,32
chartqa,base_vq_logic_router,0.25,stream,residual_positions,120,128,128,128
chartqa,base_vq_logic_router,0.25,stream,residual_scale_indices,120,64,64,64
chartqa,base_vq_mlp_router,0.125,shared,base_codebook,120,8454400,8454400,8454400
chartqa,base_vq_mlp_router,0.125,shared,mlp_router_normalizer,120,832,832,832
chartqa,base_vq_mlp_router,0.125,shared,mlp_router_parameters,120,51296,51296,51296
chartqa,base_vq_mlp_router,0.125,shared,residual_codebooks,120,67371264,67371264,67371264
chartqa,base_vq_mlp_router,0.125,shared,router_curvature_prior,120,8192,8192,8192
chartqa,base_vq_mlp_router,0.125,stream,base_code_indices,120,768,768,768
chartqa,base_vq_mlp_router,0.125,stream,base_scale_indices,120,384,384,384
chartqa,base_vq_mlp_router,0.125,stream,exact_fallback_payload,120,0,0,0
chartqa,base_vq_mlp_router,0.125,stream,residual_code_indices,120,128,128,128
chartqa,base_vq_mlp_router,0.125,stream,residual_count_header,120,9,9,9
chartqa,base_vq_mlp_router,0.125,stream,residual_modes,120,16,16,16
chartqa,base_vq_mlp_router,0.125,stream,residual_positions,120,64,64,64
chartqa,base_vq_mlp_router,0.125,stream,residual_scale_indices,120,32,32,32
chartqa,base_vq_mlp_router,0.25,shared,base_codebook,120,8454400,8454400,8454400
chartqa,base_vq_mlp_router,0.25,shared,mlp_router_normalizer,120,832,832,832
chartqa,base_vq_mlp_router,0.25,shared,mlp_router_parameters,120,51296,51296,51296
chartqa,base_vq_mlp_router,0.25,shared,residual_codebooks,120,67371264,67371264,67371264
chartqa,base_vq_mlp_router,0.25,shared,router_curvature_prior,120,8192,8192,8192
chartqa,base_vq_mlp_router,0.25,stream,base_code_indices,120,1536,1536,1536
chartqa,base_vq_mlp_router,0.25,stream,base_scale_indices,120,768,768,768
chartqa,base_vq_mlp_router,0.25,stream,exact_fallback_payload,120,0,0,0
chartqa,base_vq_mlp_router,0.25,stream,residual_code_indices,120,256,256,256
chartqa,base_vq_mlp_router,0.25,stream,residual_count_header,120,9,9,9
chartqa,base_vq_mlp_router,0.25,stream,residual_modes,120,32,32,32
chartqa,base_vq_mlp_router,0.25,stream,residual_positions,120,128,128,128
chartqa,base_vq_mlp_router,0.25,stream,residual_scale_indices,120,64,64,64
chartqa,base_vq_residual_rvq,0.125,shared,base_codebook,120,8454400,8454400,8454400
chartqa,base_vq_residual_rvq,0.125,shared,residual_codebooks,120,67371264,67371264,67371264
chartqa,base_vq_residual_rvq,0.125,stream,base_code_indices,120,768,768,768
chartqa,base_vq_residual_rvq,0.125,stream,base_scale_indices,120,384,384,384
chartqa,base_vq_residual_rvq,0.125,stream,exact_fallback_payload,120,0,0,0
chartqa,base_vq_residual_rvq,0.125,stream,residual_code_indices,120,128,128,128
chartqa,base_vq_residual_rvq,0.125,stream,residual_count_header,120,9,9,9
chartqa,base_vq_residual_rvq,0.125,stream,residual_modes,120,16,16,16
chartqa,base_vq_residual_rvq,0.125,stream,residual_positions,120,64,64,64
chartqa,base_vq_residual_rvq,0.125,stream,residual_scale_indices,120,32,32,32
chartqa,base_vq_residual_rvq,0.25,shared,base_codebook,120,8454400,8454400,8454400
chartqa,base_vq_residual_rvq,0.25,shared,residual_codebooks,120,67371264,67371264,67371264
chartqa,base_vq_residual_rvq,0.25,stream,base_code_indices,120,1536,1536,1536
chartqa,base_vq_residual_rvq,0.25,stream,base_scale_indices,120,768,768,768
chartqa,base_vq_residual_rvq,0.25,stream,exact_fallback_payload,120,0,0,0
chartqa,base_vq_residual_rvq,0.25,stream,residual_code_indices,120,256,256,256
chartqa,base_vq_residual_rvq,0.25,stream,residual_count_header,120,9,9,9
chartqa,base_vq_residual_rvq,0.25,stream,residual_modes,120,32,32,32
chartqa,base_vq_residual_rvq,0.25,stream,residual_positions,120,128,128,128
chartqa,base_vq_residual_rvq,0.25,stream,residual_scale_indices,120,64,64,64
chartqa,base_vq_residual_rvq_unweighted,0.125,shared,base_codebook,120,8454400,8454400,8454400
chartqa,base_vq_residual_rvq_unweighted,0.125,shared,residual_codebooks,120,67371264,67371264,67371264
chartqa,base_vq_residual_rvq_unweighted,0.125,stream,base_code_indices,120,768,768,768
chartqa,base_vq_residual_rvq_unweighted,0.125,stream,base_scale_indices,120,384,384,384
chartqa,base_vq_residual_rvq_unweighted,0.125,stream,exact_fallback_payload,120,0,0,0
chartqa,base_vq_residual_rvq_unweighted,0.125,stream,residual_code_indices,120,128,128,128
chartqa,base_vq_residual_rvq_unweighted,0.125,stream,residual_count_header,120,9,9,9
chartqa,base_vq_residual_rvq_unweighted,0.125,stream,residual_modes,120,16,16,16
chartqa,base_vq_residual_rvq_unweighted,0.125,stream,residual_positions,120,64,64,64
chartqa,base_vq_residual_rvq_unweighted,0.125,stream,residual_scale_indices,120,32,32,32
chartqa,base_vq_residual_rvq_unweighted,0.25,shared,base_codebook,120,8454400,8454400,8454400
chartqa,base_vq_residual_rvq_unweighted,0.25,shared,residual_codebooks,120,67371264,67371264,67371264
chartqa,base_vq_residual_rvq_unweighted,0.25,stream,base_code_indices,120,1536,1536,1536
chartqa,base_vq_residual_rvq_unweighted,0.25,stream,base_scale_indices,120,768,768,768
chartqa,base_vq_residual_rvq_unweighted,0.25,stream,exact_fallback_payload,120,0,0,0
chartqa,base_vq_residual_rvq_unweighted,0.25,stream,residual_code_indices,120,256,256,256
chartqa,base_vq_residual_rvq_unweighted,0.25,stream,residual_count_header,120,9,9,9
chartqa,base_vq_residual_rvq_unweighted,0.25,stream,residual_modes,120,32,32,32
chartqa,base_vq_residual_rvq_unweighted,0.25,stream,residual_positions,120,128,128,128
chartqa,base_vq_residual_rvq_unweighted,0.25,stream,residual_scale_indices,120,64,64,64
chartqa,logic_router_fixed_slots,0.125,shared,base_codebook,120,8454400,8454400,8454400
chartqa,logic_router_fixed_slots,0.125,shared,fixed_slot_positions,120,64,64,64
chartqa,logic_router_fixed_slots,0.125,shared,logic_router,120,10119,10119,10119
chartqa,logic_router_fixed_slots,0.125,shared,residual_codebooks,120,67371264,67371264,67371264
chartqa,logic_router_fixed_slots,0.125,shared,router_curvature_prior,120,8192,8192,8192
chartqa,logic_router_fixed_slots,0.125,stream,base_code_indices,120,768,768,768
chartqa,logic_router_fixed_slots,0.125,stream,base_scale_indices,120,384,384,384
chartqa,logic_router_fixed_slots,0.125,stream,exact_fallback_payload,120,0,0,0
chartqa,logic_router_fixed_slots,0.125,stream,fixed_slot_modes,120,16,16,16
chartqa,logic_router_fixed_slots,0.125,stream,fixed_slot_valid_mask,120,8,8,8
chartqa,logic_router_fixed_slots,0.125,stream,residual_code_indices,120,128,128,128
chartqa,logic_router_fixed_slots,0.125,stream,residual_scale_indices,120,32,32,32
chartqa,logic_router_fixed_slots,0.25,shared,base_codebook,120,8454400,8454400,8454400
chartqa,logic_router_fixed_slots,0.25,shared,fixed_slot_positions,120,128,128,128
chartqa,logic_router_fixed_slots,0.25,shared,logic_router,120,10173,10173,10173
chartqa,logic_router_fixed_slots,0.25,shared,residual_codebooks,120,67371264,67371264,67371264
chartqa,logic_router_fixed_slots,0.25,shared,router_curvature_prior,120,8192,8192,8192
chartqa,logic_router_fixed_slots,0.25,stream,base_code_indices,120,1536,1536,1536
chartqa,logic_router_fixed_slots,0.25,stream,base_scale_indices,120,768,768,768
chartqa,logic_router_fixed_slots,0.25,stream,exact_fallback_payload,120,0,0,0
chartqa,logic_router_fixed_slots,0.25,stream,fixed_slot_modes,120,32,32,32
chartqa,logic_router_fixed_slots,0.25,stream,fixed_slot_valid_mask,120,16,16,16
chartqa,logic_router_fixed_slots,0.25,stream,residual_code_indices,120,256,256,256
chartqa,logic_router_fixed_slots,0.25,stream,residual_scale_indices,120,64,64,64
chartqa,logic_router_fixed_slots_exact_fallback,0.125,shared,base_codebook,120,8454400,8454400,8454400
chartqa,logic_router_fixed_slots_exact_fallback,0.125,shared,fixed_slot_positions,120,64,64,64
chartqa,logic_router_fixed_slots_exact_fallback,0.125,shared,logic_router,120,10119,10119,10119
chartqa,logic_router_fixed_slots_exact_fallback,0.125,shared,residual_codebooks,120,67371264,67371264,67371264
chartqa,logic_router_fixed_slots_exact_fallback,0.125,shared,router_curvature_prior,120,8192,8192,8192
chartqa,logic_router_fixed_slots_exact_fallback,0.125,stream,base_code_indices,120,768,768,768
chartqa,logic_router_fixed_slots_exact_fallback,0.125,stream,base_scale_indices,120,384,384,384
chartqa,logic_router_fixed_slots_exact_fallback,0.125,stream,exact_fallback_payload,120,524288,524288,524288
chartqa,logic_router_fixed_slots_exact_fallback,0.125,stream,fixed_slot_modes,120,16,16,16
chartqa,logic_router_fixed_slots_exact_fallback,0.125,stream,fixed_slot_valid_mask,120,8,8,8
chartqa,logic_router_fixed_slots_exact_fallback,0.125,stream,residual_code_indices,120,64,64,64
chartqa,logic_router_fixed_slots_exact_fallback,0.125,stream,residual_scale_indices,120,16,16,16
chartqa,logic_router_fixed_slots_exact_fallback,0.25,shared,base_codebook,120,8454400,8454400,8454400
chartqa,logic_router_fixed_slots_exact_fallback,0.25,shared,fixed_slot_positions,120,128,128,128
chartqa,logic_router_fixed_slots_exact_fallback,0.25,shared,logic_router,120,10173,10173,10173
chartqa,logic_router_fixed_slots_exact_fallback,0.25,shared,residual_codebooks,120,67371264,67371264,67371264
chartqa,logic_router_fixed_slots_exact_fallback,0.25,shared,router_curvature_prior,120,8192,8192,8192
chartqa,logic_router_fixed_slots_exact_fallback,0.25,stream,base_code_indices,120,1536,1536,1536
chartqa,logic_router_fixed_slots_exact_fallback,0.25,stream,base_scale_indices,120,768,768,768
chartqa,logic_router_fixed_slots_exact_fallback,0.25,stream,exact_fallback_payload,120,524288,524288,524288
chartqa,logic_router_fixed_slots_exact_fallback,0.25,stream,fixed_slot_modes,120,32,32,32
chartqa,logic_router_fixed_slots_exact_fallback,0.25,stream,fixed_slot_valid_mask,120,16,16,16
chartqa,logic_router_fixed_slots_exact_fallback,0.25,stream,residual_code_indices,120,192,192,192
chartqa,logic_router_fixed_slots_exact_fallback,0.25,stream,residual_scale_indices,120,48,48,48
chartqa,none,,stream,fp16_crop_tokens,120,33554432,33554432,33554432
chartqa,tile_energy_exception,0.125,stream,fp16_base_coefficients,120,3145728,3145728,3145728
chartqa,tile_energy_exception,0.125,stream,fp16_exact_residual,120,1048576,1048576,1048576
chartqa,tile_energy_exception,0.125,stream,residual_count_header,120,9,9,9
chartqa,tile_energy_exception,0.125,stream,residual_positions,120,64,64,64
chartqa,tile_energy_exception,0.25,stream,fp16_base_coefficients,120,6291456,6291456,6291456
chartqa,tile_energy_exception,0.25,stream,fp16_exact_residual,120,2097152,2097152,2097152
chartqa,tile_energy_exception,0.25,stream,residual_count_header,120,9,9,9
chartqa,tile_energy_exception,0.25,stream,residual_positions,120,128,128,128
chartqa,tile_lowpass,0.125,stream,fp16_base_coefficients,120,4194304,4194304,4194304
chartqa,tile_lowpass,0.25,stream,fp16_base_coefficients,120,8388608,8388608,8388608
chartqa,tile_risk_exception,0.125,stream,fp16_base_coefficients,120,3145728,3145728,3145728
chartqa,tile_risk_exception,0.125,stream,fp16_exact_residual,120,1048576,1048576,1048576
chartqa,tile_risk_exception,0.125,stream,residual_count_header,120,9,9,9
chartqa,tile_risk_exception,0.125,stream,residual_positions,120,64,64,64
chartqa,tile_risk_exception,0.25,stream,fp16_base_coefficients,120,6291456,6291456,6291456
chartqa,tile_risk_exception,0.25,stream,fp16_exact_residual,120,2097152,2097152,2097152
chartqa,tile_risk_exception,0.25,stream,residual_count_header,120,9,9,9
chartqa,tile_risk_exception,0.25,stream,residual_positions,120,128,128,128
gqa,base_scalar_quant,0.125,stream,base_scalar_codes,120,1048576,1048576,1048576
gqa,base_scalar_quant,0.125,stream,base_scalar_scales,120,4096,4096,4096
gqa,base_scalar_quant,0.25,stream,base_scalar_codes,120,2097152,2097152,2097152
gqa,base_scalar_quant,0.25,stream,base_scalar_scales,120,8192,8192,8192
gqa,base_vq,0.125,shared,base_codebook,120,8454400,8454400,8454400
