layer,rank,mode,count,relative_projection_error_mean,relative_projection_error_std,raw_reconstruction_error_mean,raw_reconstruction_error_std
23,4,history_centered,210,0.4744659627151297,0.08996091609662471,0.37246716620867926,0.09137870240028394
23,4,raw,210,0.386966941374856,0.0905309537392704,0.386966941374856,0.0905309537392704
23,64,history_centered,210,0.27682409924379076,0.09900101091570462,0.21936007446518416,0.08746561411444809
23,64,raw,210,0.2196396115834817,0.08699687380450567,0.2196396115834817,0.08699687380450567
23,8,history_centered,210,0.41987816858092025,0.09399866701675225,0.3303079660867643,0.09090132515567974
23,8,raw,210,0.3364351315811769,0.09113207566209641,0.3364351315811769,0.09113207566209641
7,1,history_centered,210,0.9448270482888408,0.018912313527715212,0.8491674166422565,0.10131910234765777
7,1,raw,210,0.8846406497720084,0.09775960047514497,0.8846406497720084,0.09775960047514497
7,16,history_centered,210,0.6705731856527192,0.11543612151344525,0.6129024408791971,0.14173136123602637
7,16,raw,210,0.6186467855983344,0.1392236549973278,0.6186467855983344,0.1392236549973278
7,2,history_centered,210,0.9091897438009284,0.02894597351733813,0.8181196097230768,0.10500114298515445
7,2,raw,210,0.844125856693058,0.09982601975951046,0.844125856693058,0.09982601975951046
7,32,history_centered,210,0.5814234006476517,0.12698608263281227,0.5337568794947534,0.14225619913582455
7,32,raw,210,0.5355577122896319,0.1404637137250087,0.5355577122896319,0.1404637137250087
7,4,history_centered,210,0.8544569506955552,0.046675528791667635,0.770996640799765,0.11323821534060242
7,4,raw,210,0.7897819839437613,0.10775957008969177,0.7897819839437613,0.10775957008969177
7,64,history_centered,210,0.4942256993026277,0.12825671766106042,0.45501348534062386,0.13759108725450978
7,64,raw,210,0.4553722980545892,0.1355314477239805,0.4553722980545892,0.1355314477239805
7,8,history_centered,210,0.7716024343478867,0.08351910262173501,0.7004711418317031,0.13028218549962434
7,8,raw,210,0.7132903031084168,0.1249133796104977,0.7132903031084168,0.1249133796104977
