category,layer,method,fraction,count,energy_ratio_mean,energy_ratio_std,pixel_change_recall_mean,pixel_change_recall_std,gini_mean,gini_std
camera_motion,7,local_bccb_causal,0.2,28,0.455076932190253,0.19235787390177614,0.47765841185651353,0.20769939420863312,0.35536059950125976,0.22545564418699895
camera_motion,7,local_bttb_causal,0.05,28,0.18929193647351591,0.12091608913118083,0.16170015534813123,0.07421098838967513,0.355142338354231,0.2255366135610313
camera_motion,7,local_bttb_causal,0.1,28,0.29912628671321306,0.1632350560305523,0.2760219779239156,0.12992980203348067,0.355142338354231,0.2255366135610313
camera_motion,7,local_bttb_causal,0.2,28,0.45493774184323843,0.19240666092773975,0.4783429356660373,0.20694759041635513,0.355142338354231,0.2255366135610313
camera_motion,7,optical_flow_warp,0.05,30,0.20500375065473364,0.07789591127273782,0.11193136038583412,0.06382073210935199,0.42185388942144925,0.18557728306665186
camera_motion,7,optical_flow_warp,0.1,30,0.3297754081766949,0.1142089767554696,0.18300076169726012,0.0978983619829205,0.42185388942144925,0.18557728306665186
camera_motion,7,optical_flow_warp,0.2,30,0.5011248330045132,0.14984274411051374,0.3762154804938676,0.15183559729737092,0.42185388942144925,0.18557728306665186
camera_motion,7,pixel_shift_zero,0.05,30,0.20948430750091354,0.12282267616884543,0.1700667225394657,0.07612977976932708,0.41348739589970046,0.21359450907123792
camera_motion,7,pixel_shift_zero,0.1,30,0.3299757707057927,0.16431368650626632,0.30174716797758805,0.12981874179433953,0.41348739589970046,0.21359450907123792
camera_motion,7,pixel_shift_zero,0.2,30,0.4964333852796702,0.1901871314995214,0.5172170630102169,0.20262435452644437,0.41348739589970046,0.21359450907123792
high_change,0,identity,0.05,30,0.1357652774460959,0.02626710011493027,0.16571111332335406,0.06198432317697438,0.3789700839560241,0.08108234688720475
high_change,0,identity,0.1,30,0.23738811413189367,0.04195306155037981,0.2987693000601706,0.10394132174836175,0.3789700839560241,0.08108234688720475
high_change,0,identity,0.2,30,0.41156249722984567,0.060866668870733664,0.5307442985586103,0.14902073876847974,0.3789700839560241,0.08108234688720475
high_change,0,local_bccb_causal,0.05,28,0.1251359701116299,0.02116657546508242,0.18862243352663088,0.05831697000652976,0.32982163835650663,0.06547705431438357
high_change,0,local_bccb_causal,0.1,28,0.21872967745796773,0.03329373773459617,0.3206375273262588,0.10181716579413994,0.32982163835650663,0.06547705431438357
high_change,0,local_bccb_causal,0.2,28,0.3821781228141101,0.04828093386309494,0.5370375973388104,0.13337879757604737,0.32982163835650663,0.06547705431438357
high_change,0,local_bttb_causal,0.05,28,0.12495884490877872,0.021428862132557968,0.1866625366646603,0.06226782686986057,0.3275759733900216,0.0666200517148427
high_change,0,local_bttb_causal,0.1,28,0.21816939038138372,0.03372241344850566,0.32155898642714054,0.10240200086353811,0.3275759733900216,0.0666200517148427
high_change,0,local_bttb_causal,0.2,28,0.381210071836533,0.04896747183444353,0.5414190878382359,0.13468083427823735,0.3275759733900216,0.0666200517148427
high_change,0,optical_flow_warp,0.05,30,0.12540724526929084,0.019160004801101523,0.16849004404036957,0.061728715013257496,0.32784346326052666,0.06566960137923941
high_change,0,optical_flow_warp,0.1,30,0.2187803763196389,0.02931931281913628,0.29906324157151054,0.11436869244259863,0.32784346326052666,0.06566960137923941
high_change,0,optical_flow_warp,0.2,30,0.38060853678099454,0.04292003940554491,0.5075199240378443,0.16456908040939566,0.32784346326052666,0.06566960137923941
