rank,eigenvalue,cumulative_energy,tail_energy_fraction
930,3431.2919921875,0.9500126347291685,0.049987365270831474
931,3413.00927734375,0.9500770365015011,0.049922963498498896
932,3411.302490234375,0.9501414060676175,0.049858593932382456
933,3410.116943359375,0.9502057532630593,0.04979424673694066
934,3407.122314453125,0.9502700439513565,0.0497299560486435
935,3397.2275390625,0.9503341479302074,0.04966585206979257
936,3388.479248046875,0.9503980868331969,0.04960191316680307
937,3388.08056640625,0.950462018213264,0.04953798178673596
938,3374.255615234375,0.9505256887234402,0.04947431127655977
939,3370.737548828125,0.9505892928494687,0.04941070715053131
940,3370.658203125,0.9506528954782837,0.04934710452171631
941,3367.86181640625,0.9507164453406846,0.04928355465931544
942,3359.391845703125,0.9507798353789886,0.04922016462101142
943,3358.24609375,0.9508432037975283,0.04915679620247171
944,3346.937744140625,0.9509063588331857,0.04909364116681425
945,3338.436767578125,0.9509693534596814,0.049030646540318634
946,3336.940673828125,0.9510323198556387,0.04896768014436126
947,3329.496337890625,0.9510951457807127,0.04890485421928725
948,3327.175537109375,0.9511579279134406,0.04884207208655944
949,3319.441650390625,0.9512205641116072,0.04877943588839284
950,3317.737060546875,0.9512831681450188,0.04871683185498121
951,3314.7431640625,0.9513457156851061,0.048654284314893936
952,3306.456298828125,0.951408106856205,0.04859189314379497
953,3296.409912109375,0.9514703084570281,0.04852969154297193
954,3292.42626953125,0.9515324348885148,0.0484675651114852
955,3291.7353515625,0.9515945482827262,0.04840545171727384
956,3281.372314453125,0.9516564661316276,0.048343533868372424
957,3273.05029296875,0.9517182269481599,0.048281773051840116
958,3267.58447265625,0.9517798846274058,0.048220115372594186
959,3267.521240234375,0.9518415411134876,0.04815845888651238
960,3261.72412109375,0.9519030882108404,0.048096911789159646
961,3261.195068359375,0.9519646253252335,0.048035374674766484
962,3251.8603515625,0.9520259862982051,0.04797401370179488
963,3247.845947265625,0.9520872715213822,0.04791272847861783
964,3243.400146484375,0.9521484728545294,0.047851527145470585
965,3240.48583984375,0.952209619196173,0.047790380803827026
966,3234.693359375,0.9522706562366168,0.047729343763383225
967,3226.969482421875,0.9523315475313785,0.0476684524686215
968,3224.529541015625,0.9523923927856703,0.04760760721432966
969,3214.751708984375,0.9524530535371785,0.04754694646282154
970,3209.94677734375,0.9525136236220378,0.04748637637796216
971,3207.21240234375,0.9525741421106131,0.04742585788938691
972,3204.1650390625,0.9526346030969725,0.047365396903027546
973,3201.44140625,0.9526950126897474,0.047304987310252566
974,3191.155517578125,0.9527552281929649,0.047244771807035124
975,3186.466796875,0.9528153552223756,0.04718464477762441
976,3179.8896484375,0.9528753581442959,0.047124641855704086
977,3178.3427734375,0.9529353318774612,0.047064668122538844
978,3175.056396484375,0.9529952435983425,0.047004756401657466
979,3170.343505859375,0.9530550663893428,0.046944933610657213
980,3161.65966796875,0.9531147253206799,0.04688527467932013
981,3157.02490234375,0.9531742967963154,0.04682570320368462
982,3146.814208984375,0.9532336756012912,0.04676632439870876
983,3143.560546875,0.9532929930112959,0.046707006988704114
984,3141.9609375,0.9533522802374743,0.046647719762525686
985,3131.184814453125,0.9534113641236185,0.04658863587638151
986,3130.859619140625,0.9534704418734904,0.04652955812650961
987,3129.73193359375,0.953529498344502,0.04647050165549804
988,3121.20654296875,0.9535883939456706,0.04641160605432937
989,3117.085205078125,0.9536472117792615,0.04635278822073852
990,3113.995849609375,0.953705971318265,0.046294028681735044
991,3109.725341796875,0.9537646502749291,0.04623534972507093
992,3109.66943359375,0.9538233281766334,0.0461766718233666
993,3104.307861328125,0.9538819049081597,0.04611809509184028
994,3099.3857421875,0.9539403887617679,0.0460596112382321
995,3098.456787109375,0.9539988550864599,0.046001144913540126
996,3086.7880859375,0.9540571012286164,0.04594289877138358
997,3078.964599609375,0.9541151997455118,0.045884800254488156
998,3076.29638671875,0.9541732479145691,0.045826752085430855
999,3074.217529296875,0.95423125685663,0.04576874314336998
1000,3071.513671875,0.9542892147782582,0.04571078522174177
1001,3065.86328125,0.9543470660798509,0.04565293392014913
1002,3061.56884765625,0.9544048363476366,0.04559516365236338
1003,3058.352294921875,0.9544625459206865,0.04553745407931353
1004,3053.095458984375,0.9545201562998802,0.045479843700119815
1005,3045.1826171875,0.95457761736772,0.045422382632280045
1006,3034.957763671875,0.954634885497705,0.04536511450229497
1007,3029.656494140625,0.9546920535953944,0.04530794640460556
1008,3025.601806640625,0.9547491451831653,0.04525085481683466
1009,3018.388916015625,0.9548061006673098,0.045193899332690246
1010,3013.949951171875,0.9548629723904152,0.04513702760958482
1011,3012.62939453125,0.9549198191952795,0.04508018080472054
1012,3008.01220703125,0.9549765788761327,0.04502342112386726
1013,3007.924072265625,0.9550333368939271,0.04496666310607289
1014,2995.64404296875,0.9550898631937311,0.044910136806268874
1015,2993.927001953125,0.9551463570938328,0.044853642906167224
1016,2987.97265625,0.9552027386384191,0.04479726136158091
1017,2986.52734375,0.9552590929106838,0.04474090708931622
1018,2986.15869140625,0.9553154402266637,0.044684559773336296
1019,2982.8564453125,0.9553717252309171,0.04462827476908293
1020,2975.463134765625,0.9554278707271106,0.04457212927288945
1021,2966.003662109375,0.955483837727802,0.04451616227219801
1022,2960.677734375,0.9555397042309097,0.044460295769090274
1023,2960.575439453125,0.9555955688037636,0.04440443119623638
1024,2959.5341796875,0.9556514137285683,0.04434858627143168
1025,2947.36474609375,0.955707029022268,0.044292970977731994
1026,2945.938720703125,0.9557626174075842,0.04423738259241583
1027,2939.4326171875,0.9558180830259919,0.044181916974008084
1028,2932.92236328125,0.9558734257991754,0.04412657420082455
1029,2932.348388671875,0.9559287577417461,0.04407124225825387
1030,2921.162109375,0.95598387860484,0.04401612139515998
1031,2920.672607421875,0.9560389902312777,0.0439610097687223
1032,2919.746337890625,0.9560940843794742,0.043905915620525815
1033,2918.379150390625,0.9561491527295286,0.043850847270471394
1034,2914.046630859375,0.9562041393271137,0.04379586067288632
1035,2912.4208984375,0.9562590952479437,0.043740904752056275
1036,2904.120849609375,0.9563138945510176,0.04368610544898244
1037,2899.228759765625,0.9563686015428111,0.043631398457188886
1038,2893.393310546875,0.9564231984226061,0.04357680157739385
1039,2890.062744140625,0.9564777324562845,0.043522267543715465
1040,2887.684326171875,0.9565322216104093,0.043467778389590706
1041,2887.2314453125,0.9565867022188996,0.04341329778110037
1042,2876.6611328125,0.9566409833708974,0.043359016629102576
1043,2873.012939453125,0.9566951956833174,0.0433048043166826
1044,2870.87158203125,0.9567493675893973,0.043250632410602674
1045,2864.348388671875,0.956803416406092,0.04319658359390799
1046,2862.914306640625,0.9568574381623786,0.04314256183762144
1047,2862.150390625,0.9569114455039531,0.04308855449604687
1048,2854.66796875,0.9569653116559818,0.043034688344018246
1049,2848.5498046875,0.9570190623613248,0.042980937638675165
1050,2846.466796875,0.9570727737613558,0.0429272262386442
1051,2842.7587890625,0.9571264151931401,0.04287358480685988
1052,2834.229248046875,0.9571798956767658,0.04282010432323424
1053,2833.90966796875,0.9572333701300758,0.04276662986992419
1054,2833.478271484375,0.9572868364431506,0.0427131635568494
1055,2829.679443359375,0.9573402310742449,0.04265976892575507
1056,2822.88623046875,0.9573934975208211,0.042606502479178854
1057,2814.01904296875,0.9574465966480189,0.0425534033519811
1058,2812.974609375,0.9574996760672789,0.042500323932721074
1059,2812.611328125,0.9575527486316041,0.04244725136839589
1060,2807.21435546875,0.9576057193577635,0.04239428064223649
1061,2799.572265625,0.9576585458815227,0.04234145411847734
1062,2795.685546875,0.9577112990648493,0.04228870093515069
1063,2789.207763671875,0.9577639300156577,0.04223606998434226
1064,2785.407470703125,0.9578164892568448,0.042183510743155184
1065,2782.169677734375,0.9578689874025035,0.04213101259749652
1066,2780.82275390625,0.9579214601323854,0.04207853986761456
1067,2780.51123046875,0.9579739269839763,0.04202607301602368
1068,2774.88671875,0.9580262877038537,0.041973712296146326
1069,2769.923828125,0.9580785547764755,0.04192144522352448
1070,2768.327880859375,0.9581307917343732,0.04186920826562679
1071,2757.599365234375,0.958182826250565,0.041817173749435055
1072,2749.843994140625,0.958234714426796,0.041765285573204025
1073,2748.455322265625,0.9582865763994856,0.04171342360051444
1074,2747.64794921875,0.958338423137451,0.04166157686254901
1075,2747.407958984375,0.9583902653469211,0.041609734653078934
1076,2746.80859375,0.95844209624667,0.04155790375333002
1077,2746.50634765625,0.9584939214431867,0.04150607855681332
1078,2735.842529296875,0.9585455454188024,0.041454454581197564
1079,2730.03857421875,0.9585970598766983,0.0414029401233017
1080,2723.373046875,0.9586484485594382,0.041351551440561796
1081,2718.4345703125,0.9586997440556037,0.04130025594439635
1082,2717.8740234375,0.9587510289745308,0.041248971025469205
1083,2713.93798828125,0.9588022396224497,0.041197760377550297
1084,2708.32421875,0.9588533443413547,0.04114665565864528
1085,2703.1640625,0.9589043516907009,0.041095648309299126
1086,2699.470458984375,0.9589552893436022,0.04104471065639781
1087,2694.990966796875,0.9590061424707338,0.04099385752926621
1088,2690.5029296875,0.9590569109108573,0.04094308908914268
1089,2689.71533203125,0.9591076644894084,0.04089233551059157
1090,2687.80029296875,0.9591583819321333,0.04084161806786668
1091,2683.316650390625,0.9592090147707728,0.040790985229227195
1092,2678.885498046875,0.9592595639957913,0.040740436004208735
1093,2674.676025390625,0.9593100337901731,0.0406899662098269
1094,2671.235107421875,0.9593604386561595,0.0406395613438405
1095,2665.859619140625,0.9594107420893797,0.04058925791062029
1096,2661.87939453125,0.9594609704177589,0.04053902958224109
1097,2657.386474609375,0.9595111139669937,0.040488886033006266
1098,2652.86279296875,0.9595611721566262,0.040438827843373826
1099,2651.148681640625,0.959611198001838,0.04038880199816197
1100,2650.819091796875,0.959661217627855,0.040338782372145054
1101,2645.29443359375,0.9597111330063439,0.04028886699365608
1102,2639.39111328125,0.959760936992141,0.040239063007858955
1103,2637.36962890625,0.9598107028335425,0.04018929716645747
1104,2632.49365234375,0.9598603766677131,0.04013962333228693
1105,2627.578857421875,0.9599099577621698,0.04009004223783019
1106,2623.57666015625,0.9599594633371725,0.040040536662827475
1107,2621.7041015625,0.9600089335779344,0.039991066422065624
1108,2610.041259765625,0.9600581837467241,0.039941816253275864
1109,2608.221435546875,0.9601073995763441,0.039892600423655944
1110,2606.37548828125,0.9601565805738655,0.03984341942613445
1111,2603.259521484375,0.9602057027746572,0.03979429722534278
1112,2600.8359375,0.9602547792436352,0.039745220756364774
1113,2599.28662109375,0.9603038264777902,0.03969617352220978
1114,2587.62548828125,0.9603526536722209,0.03964734632777911
1115,2586.912841796875,0.9604014674193699,0.039598532580630064
1116,2583.236083984375,0.9604502117879442,0.03954978821205579
1117,2582.19970703125,0.9604989366006055,0.03950106339939452
1118,2575.83056640625,0.9605475412307792,0.039452458769220766
1119,2572.149658203125,0.9605960764040625,0.03940392359593747
1120,2570.3125,0.9606445769110924,0.039355423088907604
1121,2564.3818359375,0.9606929655094675,0.03930703449053252
1122,2563.556640625,0.9607413385368212,0.0392586614631788
1123,2562.823486328125,0.9607896977299212,0.03921030227007882
1124,2562.270751953125,0.9608380464932009,0.039161953506799074
1125,2557.052490234375,0.9608862967905007,0.03911370320949925
1126,2548.328125,0.9609343824634066,0.03906561753659343
1127,2547.748291015625,0.9609824571951362,0.0390175428048638
1128,2544.036376953125,0.9610304618849101,0.03896953811508985
1129,2543.581298828125,0.9610784579875882,0.038921542012411825
1130,2535.954345703125,0.9611263101734883,0.03887368982651174
1131,2530.923095703125,0.9611740674222256,0.03882593257777445
1132,2530.5478515625,0.9612218175902942,0.038778182409705764
1133,2524.0048828125,0.9612694442958261,0.03873055570417394
1134,2522.4560546875,0.9613170417757484,0.03868295822425161
1135,2521.97412109375,0.9613646301618256,0.038635369838174394
1136,2519.269287109375,0.961412167509043,0.038587832490956986
1137,2515.695556640625,0.9614596374217598,0.03854036257824023
1138,2511.1044921875,0.9615070207033942,0.03849297929660578
1139,2508.447265625,0.9615543538444968,0.038445646155503166
1140,2501.927490234375,0.9616015639607096,0.038398436039290385
1141,2498.836181640625,0.9616487157454806,0.03835128425451939
1142,2498.223876953125,0.9616958559763694,0.03830414402363058
1143,2491.801025390625,0.9617428750112723,0.038257124988727687
1144,2490.05908203125,0.9617898611765782,0.038210138823421835
1145,2489.766357421875,0.9618368418183176,0.038163158181682366
1146,2482.19189453125,0.9618836795337433,0.03811632046625668
1147,2478.070556640625,0.9619304394815912,0.03806956051840882
1148,2477.656982421875,0.9619771916255011,0.038022808374498895
1149,2473.9736328125,0.9620238742664523,0.037976125733547694
1150,2471.343994140625,0.9620705072874415,0.03792949271255852
1151,2465.288330078125,0.9621170260410885,0.03788297395891149
1152,2463.81298828125,0.9621635169557763,0.03783648304422371
1153,2459.842041015625,0.9622099329406818,0.0377900670593182
1154,2456.185791015625,0.9622562799339847,0.03774372006601534
1155,2452.2119140625,0.9623025519422237,0.037697448057776306
1156,2444.399169921875,0.9623486765279012,0.03765132347209876
1157,2441.65234375,0.9623947492823475,0.03760525071765253
1158,2440.699462890625,0.9624408040564101,0.03755919594358992
1159,2438.065673828125,0.9624868091321946,0.03751319086780536
1160,2431.856201171875,0.9625326970383464,0.03746730296165357
1161,2427.0126953125,0.962578493549973,0.03742150645002695
1162,2423.4345703125,0.9626242225441767,0.03737577745582332
1163,2420.65283203125,0.9626698990483747,0.037330100951625256
1164,2420.127685546875,0.9627155656433223,0.03728443435667772
1165,2418.66748046875,0.9627612046849328,0.03723879531506724
1166,2414.5751953125,0.9628067665071759,0.03719323349282411
1167,2404.99072265625,0.9628521474752297,0.037147852524770264
1168,2401.645263671875,0.9628974653161514,0.03710253468384861
1169,2394.9541015625,0.9629426568982018,0.0370573431017982
1170,2393.004638671875,0.9629878116948658,0.0370121883051342
1171,2392.83349609375,0.9630329632621552,0.03696703673784485
1172,2388.37353515625,0.9630780306722198,0.036921969327780246
1173,2388.138427734375,0.9631230936459253,0.0368769063540747
1174,2386.083740234375,0.9631681178487089,0.03683188215129107
1175,2384.665771484375,0.9632131152951336,0.03678688470486635
1176,2383.505126953125,0.9632580908407786,0.036741909159221375
1177,2380.67919921875,0.9633030130625853,0.036696986937414744
1178,2373.937744140625,0.9633478080765177,0.03665219192348235
1179,2371.337646484375,0.9633925540279121,0.03660744597208787
1180,2366.325927734375,0.9634372054106887,0.03656279458931133
1181,2365.867919921875,0.9634818481510877,0.03651815184891227
1182,2365.86669921875,0.9635264908684527,0.036473509131547344
1183,2363.535400390625,0.9635710895953786,0.03642891040462137
1184,2354.52294921875,0.9636155182618737,0.03638448173812625
1185,2354.411865234375,0.9636599448322697,0.03634005516773031
1186,2352.334716796875,0.9637043322079171,0.03629566779208293
1187,2347.351806640625,0.9637486255585502,0.03625137444144977
1188,2344.45166015625,0.9637928641848748,0.036207135815125246
1189,2338.836669921875,0.9638369968591511,0.03616300314084886
1190,2337.7998046875,0.963881109968301,0.03611889003169899
1191,2333.304931640625,0.963925138261452,0.036074861738548014
1192,2330.8076171875,0.9639691194315325,0.03603088056846748
1193,2330.017578125,0.9640130856939725,0.03598691430602752
1194,2324.478759765625,0.9640569474416895,0.03594305255831054
1195,2322.599609375,0.9641007737307815,0.03589922626921849
1196,2318.28857421875,0.9641445186728036,0.0358554813271964
1197,2315.783935546875,0.9641882163535508,0.03581178364644921
1198,2312.71337890625,0.9642318560944351,0.03576814390556493
1199,2308.009765625,0.9642754070804972,0.03572459291950281
1200,2306.53369140625,0.9643189302137795,0.03568106978622054
1201,2303.30859375,0.9643623924910874,0.03563760750891265
1202,2303.039306640625,0.9644058496870828,0.03559415031291724
1203,2297.572021484375,0.9644492037181508,0.035550796281849206
1204,2294.629150390625,0.9644925022187181,0.03550749778128193
1205,2291.771728515625,0.9645357468011685,0.03546425319883151
1206,2289.5712890625,0.9645789498624308,0.03542105013756924
1207,2285.304931640625,0.9646220724196694,0.03537792758033065
1208,2285.037841796875,0.9646651899370566,0.03533481006294337
1209,2277.96142578125,0.9647081739260248,0.035291826073975185
1210,2273.110595703125,0.9647510663822637,0.03524893361773629
1211,2271.079345703125,0.9647939205098345,0.03520607949016552
1212,2270.47021484375,0.9648367631434115,0.03516323685658851
1213,2267.720703125,0.9648795538950823,0.03512044610491771
1214,2267.517822265625,0.9649223408184929,0.03507765918150707
1215,2262.70166015625,0.9649650368633416,0.03503496313665844
1216,2262.291259765625,0.9650077251641407,0.034992274835859316
1217,2251.61767578125,0.9650502120597663,0.034949787940233734
1218,2247.804931640625,0.9650926270108233,0.03490737298917668
1219,2245.879638671875,0.9651350056325682,0.034864994367431845
1220,2245.68994140625,0.9651773806748208,0.03482261932517916
1221,2243.149658203125,0.9652197077832042,0.034780292216795794
1222,2236.716064453125,0.9652619134929021,0.034738086507097865
1223,2235.819580078125,0.9653041022863896,0.03469589771361037
1224,2228.856201171875,0.9653461596844117,0.03465384031558827
1225,2226.8525390625,0.9653881792743352,0.03461182072566482
1226,2220.84912109375,0.9654300855827743,0.03456991441722568
1227,2219.260009765625,0.96547196190548,0.034528038094519986
1228,2215.359619140625,0.965513764629772,0.03448623537022799
1229,2213.3251953125,0.9655555289655073,0.03444447103449266
1230,2209.24560546875,0.9655972163214295,0.034402783678570525
1231,2209.074951171875,0.9656389004571907,0.034361099542809304
1232,2204.130859375,0.9656804913004208,0.034319508699579226
1233,2199.0966796875,0.9657219871512065,0.034278012848793504
1234,2198.0126953125,0.9657634625477509,0.03423653745224908
1235,2197.642333984375,0.965804930955763,0.03419506904423697
1236,2190.558837890625,0.9658462657017585,0.034153734298241534
1237,2190.072021484375,0.9658875912617726,0.03411240873822741
1238,2187.75830078125,0.9659288731630381,0.034071126836961896
1239,2185.359375,0.9659701097977781,0.03402989020222191
1240,2182.645263671875,0.9660112952185992,0.033988704781400814
1241,2178.7548828125,0.9660524072298858,0.033947592770114166
1242,2175.20458984375,0.9660934522489257,0.03390654775107427
1243,2172.587646484375,0.9661344478875578,0.03386555211244224
1244,2171.610595703125,0.9661754250897318,0.033824574910268246
1245,2171.455810546875,0.9662163993711876,0.03378360062881236
1246,2161.853759765625,0.9662571924667638,0.03374280753323622
1247,2157.560546875,0.966297904551567,0.033702095448432945
1248,2156.052001953125,0.9663385881708847,0.033661411829115306
1249,2154.48046875,0.9663792421361594,0.033620757863840556
1250,2149.457275390625,0.9664198013162963,0.033580198683703655
1251,2149.338623046875,0.966460358257523,0.03353964174247703
1252,2148.25439453125,0.9665008947399016,0.03349910526009836
1253,2145.634765625,0.9665413817911974,0.03345861820880258
1254,2138.0234375,0.966581725220551,0.03341827477944903
1255,2135.833740234375,0.966622027331416,0.033377972668584
1256,2130.68798828125,0.966662232344524,0.033337767655476025
1257,2123.617919921875,0.9667023039489899,0.03329769605101007
1258,2123.181884765625,0.9667423673256913,0.0332576326743087
1259,2121.198974609375,0.9667823932858731,0.03321760671412688
1260,2119.50048828125,0.9668223871964702,0.03317761280352982
1261,2118.677001953125,0.9668623655682935,0.033137634431706475
1262,2113.864990234375,0.9669022531398705,0.03309774686012945
1263,2113.2880859375,0.9669421298255529,0.03305787017444706
1264,2112.820556640625,0.9669819976891922,0.03301800231080776
1265,2109.47265625,0.9670218023796311,0.03297819762036891
1266,2104.51123046875,0.9670615134504552,0.03293848654954479
1267,2101.29296875,0.9671011637942958,0.03289883620570422
1268,2100.1806640625,0.9671407931495051,0.032859206850494926
1269,2098.98486328125,0.9671803999405536,0.0328196000594464
1270,2096.06005859375,0.9672199515420056,0.032780048457994426
1271,2092.336669921875,0.9672594328849817,0.03274056711501827
1272,2088.1806640625,0.9672988358062128,0.03270116419378721
1273,2084.92724609375,0.9673381773370796,0.03266182266292039
1274,2084.45849609375,0.967377510022869,0.03262248997713102
1275,2080.5166015625,0.9674167683270868,0.032583231672913215
1276,2080.366455078125,0.9674560237981158,0.032543976201884206
1277,2079.619140625,0.967495265167696,0.03250473483230398
1278,2078.208984375,0.9675344799283355,0.03246552007166448
1279,2077.115478515625,0.9675736740550682,0.03242632594493178
1280,2070.42431640625,0.9676127419229297,0.032387258077070324
1281,2070.2978515625,0.967651807404463,0.032348192595537006
1282,2066.025146484375,0.9676907922621956,0.032309207737804435
1283,2062.484619140625,0.967729710311954,0.03227028968804602
1284,2061.227294921875,0.9677686046366353,0.03223139536336472
1285,2057.474365234375,0.9678074281454168,0.03219257185458324
1286,2055.115966796875,0.9678462071524031,0.032153792847596896
1287,2048.572021484375,0.9678848626784254,0.03211513732157456
1288,2044.91015625,0.9679234491068883,0.03207655089311168
1289,2041.50341796875,0.9679619712519095,0.032038028748090475
1290,2040.8336181640625,0.9680004807581445,0.03199951924185551
1291,2037.9058837890625,0.968038935019501,0.031961064980499
1292,2034.899658203125,0.9680773325548893,0.03192266744511074
1293,2031.4652099609375,0.9681156652839626,0.031884334716037355
1294,2031.3731689453125,0.9681539962762684,0.031846003723731586
1295,2030.99755859375,0.9681923201809952,0.031807679819004786
1296,2028.9066162109375,0.9682306046306886,0.03176939536931145
1297,2022.6949462890625,0.9682687718692876,0.031731228130712386
1298,2022.5220947265625,0.9683069358462645,0.03169306415373552
1299,2020.162109375,0.968345055291502,0.031654944708497945
1300,2018.938232421875,0.9683831516427956,0.03161684835720435
1301,2018.5762939453125,0.9684212411644919,0.03157875883550809
1302,2015.594482421875,0.968459274420901,0.03154072557909904
1303,2015.094482421875,0.968497298242561,0.03150270175743897
1304,2007.1038818359375,0.9685351712855979,0.03146482871440215
1305,2006.2625732421875,0.9685730284535637,0.031426971546436255
1306,2005.2088623046875,0.968610865738533,0.031389134261467055
1307,2003.2486572265625,0.968648666035416,0.031351333964584005
1308,1997.7066650390625,0.9686863617576876,0.03131363824231237
1309,1994.8111572265625,0.9687240028431799,0.03127599715682006
1310,1990.763916015625,0.9687615675592615,0.03123843244073854
1311,1988.5322265625,0.9687990901644831,0.031200909835516932
1312,1984.9951171875,0.9688365460262257,0.03116345397377429
1313,1982.9827880859375,0.968873963916328,0.031126036083672037
1314,1982.22119140625,0.9689113674354831,0.031088632564516883
1315,1975.00244140625,0.9689486347404483,0.031051365259551655
1316,1971.0079345703125,0.9689858266710741,0.031014173328925865
1317,1969.781982421875,0.969022995468598,0.030977004531401953
1318,1966.875,0.9690601094128225,0.0309398905871775
1319,1965.0230712890625,0.9690971884120815,0.03090281158791852
1320,1958.8193359375,0.9691341503499675,0.030865849650032473
1321,1958.3350830078125,0.9691711031502439,0.030828896849756093
1322,1958.2230224609375,0.9692080538359938,0.030791946164006156
1323,1954.2679443359375,0.9692449298914044,0.030755070108595572
1324,1953.4427490234375,0.9692817903757935,0.03071820962420646
1325,1951.72900390625,0.9693186185226723,0.030681381477327685
1326,1948.2786865234375,0.9693553815637935,0.030644618436206472
1327,1946.089599609375,0.9693921032979432,0.03060789670205677
1328,1945.61328125,0.9694288160442045,0.0305711839557955
1329,1938.845947265625,0.9694654010942695,0.030534598905730514
1330,1938.7611083984375,0.9695019845434676,0.030498015456532412
1331,1936.009033203125,0.9695385160623878,0.030461483937612166
1332,1934.6549072265625,0.9695750220296304,0.030424977970369582
1333,1934.043701171875,0.9696115164637216,0.030388483536278432
1334,1930.501953125,0.9696479440668043,0.030352055933195676
1335,1929.55712890625,0.9696843538415282,0.03031564615847182
1336,1928.643798828125,0.9697207463821719,0.030279253617828128
1337,1921.6978759765625,0.9697570078567369,0.030242992143263092
