sample_id,method,teacher_index,competitor_index,baseline_margin,exact_shift,linear_shift,exact_final_margin
vsi_question_5018,source_pca_r456,1,3,0.875,0.0,-0.005977812688797712,0.875
vsi_question_5018,vsi_pca_r456,1,0,1.0,0.0,-0.006791597232222557,1.0
vsi_question_5018,vsi_pca_r456,1,2,1.125,-0.125,-0.013518845662474632,1.0
vsi_question_5018,vsi_pca_r456,1,3,0.875,0.0,-0.008637608960270882,0.875
vsi_question_2109,source_pca_r456,1,0,0.625,0.125,0.07289235293865204,0.75
vsi_question_2109,source_pca_r456,1,2,0.875,0.0,0.03513921797275543,0.875
vsi_question_2109,source_pca_r456,1,3,0.625,0.0,-0.04625021666288376,0.625
vsi_question_2109,vsi_pca_r456,1,0,0.625,0.0,-0.01672562025487423,0.625
vsi_question_2109,vsi_pca_r456,1,2,0.875,0.0,-0.046582743525505066,0.875
vsi_question_2109,vsi_pca_r456,1,3,0.625,0.0,-0.060060080140829086,0.625
vsi_question_5079,source_pca_r456,0,1,0.375,0.0,0.034379992634058,0.375
vsi_question_5079,source_pca_r456,0,2,2.375,0.0,0.02902289107441902,2.375
vsi_question_5079,vsi_pca_r456,0,1,0.375,0.0,0.03783303126692772,0.375
vsi_question_5079,vsi_pca_r456,0,2,2.375,-0.125,0.00923771783709526,2.25
vsi_question_2988,source_pca_r456,0,1,0.75,0.125,0.16730831563472748,0.875
vsi_question_2988,source_pca_r456,0,2,2.25,0.125,0.1980888992547989,2.375
vsi_question_2988,source_pca_r456,0,3,2.25,0.75,0.6230231523513794,3.0
vsi_question_2988,vsi_pca_r456,0,1,0.75,-0.125,0.07892782986164093,0.625
vsi_question_2988,vsi_pca_r456,0,2,2.25,0.0,0.08775641024112701,2.25
vsi_question_2988,vsi_pca_r456,0,3,2.25,0.125,0.10299818217754364,2.375
vsi_question_966,source_pca_r456,2,0,0.25,0.0,0.08349237591028214,0.25
vsi_question_966,source_pca_r456,2,1,1.125,0.0,-0.009104686789214611,1.125
vsi_question_966,source_pca_r456,2,3,0.25,-0.25,-0.4470820724964142,0.0
vsi_question_966,vsi_pca_r456,2,0,0.25,0.125,0.05317399278283119,0.375
vsi_question_966,vsi_pca_r456,2,1,1.125,0.0,-0.052842434495687485,1.125
vsi_question_966,vsi_pca_r456,2,3,0.25,-0.125,-0.3178507089614868,0.125
vsi_question_3032,source_pca_r456,3,0,0.25,0.125,0.009654097259044647,0.375
vsi_question_3032,source_pca_r456,3,1,0.375,0.0,-0.08082813024520874,0.375
vsi_question_3032,source_pca_r456,3,2,1.0,-0.125,-0.11600065231323242,0.875
vsi_question_3032,vsi_pca_r456,3,0,0.25,0.0,-0.017015838995575905,0.25
vsi_question_3032,vsi_pca_r456,3,1,0.375,0.0,-0.10654788464307785,0.375
vsi_question_3032,vsi_pca_r456,3,2,1.0,0.0,-0.04529578983783722,1.0
vsi_question_1490,source_pca_r456,2,0,0.125,0.25,0.1202503964304924,0.375
vsi_question_1490,source_pca_r456,2,1,0.125,0.0,0.047971196472644806,0.125
vsi_question_1490,source_pca_r456,2,3,0.5,0.25,0.1709102839231491,0.75
vsi_question_1490,vsi_pca_r456,2,0,0.125,0.125,-0.01948925107717514,0.25
vsi_question_1490,vsi_pca_r456,2,1,0.125,0.0,-0.034286946058273315,0.125
vsi_question_1490,vsi_pca_r456,2,3,0.5,0.0,-0.036441609263420105,0.5
vsi_question_2459,source_pca_r456,0,1,0.125,0.0,0.07759412378072739,0.125
vsi_question_2459,vsi_pca_r456,0,1,0.125,0.0,0.044450487941503525,0.125
vsi_question_5148,source_pca_r456,1,0,0.875,0.0,-0.03924382105469704,0.875
vsi_question_5148,source_pca_r456,1,2,0.75,0.0,-0.0004989251610822976,0.75
vsi_question_5148,source_pca_r456,1,3,0.0,0.0,-0.0023465852718800306,0.0
vsi_question_5148,vsi_pca_r456,1,0,0.875,0.0,-0.02184421382844448,0.875
vsi_question_5148,vsi_pca_r456,1,2,0.75,0.0,-0.008637530729174614,0.75
vsi_question_5148,vsi_pca_r456,1,3,0.0,0.0,-0.0018272621091455221,0.0
vsi_question_3007,source_pca_r456,0,1,1.875,0.0,0.02511483058333397,1.875
vsi_question_3007,source_pca_r456,0,2,2.5,0.0,-0.007795778103172779,2.5
vsi_question_3007,source_pca_r456,0,3,3.75,0.0,-0.04301026463508606,3.75
vsi_question_3007,vsi_pca_r456,0,1,1.875,0.25,0.12242866307497025,2.125
vsi_question_3007,vsi_pca_r456,0,2,2.5,0.0,-0.014916193671524525,2.5
vsi_question_3007,vsi_pca_r456,0,3,3.75,0.125,0.03780374303460121,3.875
vsi_question_5092,source_pca_r456,0,1,0.125,0.0,-0.019315529614686966,0.125
vsi_question_5092,source_pca_r456,0,2,1.875,0.0,-0.006208780221641064,1.875
vsi_question_5092,vsi_pca_r456,0,1,0.125,0.125,-0.019457435235381126,0.25
vsi_question_5092,vsi_pca_r456,0,2,1.875,0.0,-0.015807118266820908,1.875
vsi_question_5006,source_pca_r456,2,0,1.5,-0.125,-0.024447187781333923,1.375
vsi_question_5006,source_pca_r456,2,1,0.25,0.0,0.025814427062869072,0.25
vsi_question_5006,vsi_pca_r456,2,0,1.5,0.0,-0.013640537858009338,1.5
vsi_question_5006,vsi_pca_r456,2,1,0.25,0.0,0.0005086187738925219,0.25
vsi_question_2008,source_pca_r456,0,1,2.625,0.0,-0.06333931535482407,2.625
vsi_question_2008,source_pca_r456,0,2,2.75,-0.125,0.07133448868989944,2.625
vsi_question_2008,source_pca_r456,0,3,0.5,-0.375,-0.42134910821914673,0.125
vsi_question_2008,vsi_pca_r456,0,1,2.625,0.0,0.013410978950560093,2.625
vsi_question_2008,vsi_pca_r456,0,2,2.75,0.0,0.09028764069080353,2.75
vsi_question_2008,vsi_pca_r456,0,3,0.5,-0.25,-0.22769208252429962,0.25
vsi_question_3182,source_pca_r456,0,1,1.875,0.125,0.17553089559078217,2.0
vsi_question_3182,source_pca_r456,0,2,0.625,0.5,0.5073176622390747,1.125
vsi_question_3182,source_pca_r456,0,3,1.75,0.375,0.7874135971069336,2.125
vsi_question_3182,vsi_pca_r456,0,1,1.875,0.0,-0.03563292697072029,1.875
vsi_question_3182,vsi_pca_r456,0,2,0.625,0.125,0.16694819927215576,0.75
vsi_question_3182,vsi_pca_r456,0,3,1.75,0.125,0.4019594192504883,1.875
