case,head,method,requested_token_budget,actual_critical_tokens,rank,keys,representation_ratio_full_n,attention_rel_fro,output_rel_l2,output_cosine,critical_mass
f81,0,block32_oracle,1024,1024,16,32760,0.03223443223443223,0.3433073163032532,0.11663813143968582,0.9931751489639282,0.11946071684360504
f81,0,block32_oracle,1024,1024,32,32760,0.03321123321123321,0.2907034754753113,0.09456130862236023,0.9955195188522339,0.11946071684360504
f81,0,block32_oracle,1024,1024,64,32760,0.035164835164835165,0.22852951288223267,0.07353803515434265,0.9972926378250122,0.11946071684360504
f81,0,block64_oracle,1024,1024,8,32760,0.031746031746031744,0.3871402442455292,0.1969337910413742,0.9804214835166931,0.11746862530708313
f81,0,block64_oracle,1024,1024,16,32760,0.03223443223443223,0.3422488570213318,0.11801993101835251,0.9930118322372437,0.11746862530708313
f81,0,block64_oracle,1024,1024,32,32760,0.03321123321123321,0.2816205322742462,0.09868315607309341,0.9951194524765015,0.11746862530708313
f81,0,block64_oracle,1024,1024,64,32760,0.035164835164835165,0.20843066275119781,0.06997989863157272,0.9975484609603882,0.11746862530708313
f81,0,block128_oracle,1024,1024,8,32760,0.031746031746031744,0.38743022084236145,0.1966972053050995,0.9804686903953552,0.11674808710813522
f81,0,block128_oracle,1024,1024,16,32760,0.03223443223443223,0.3400682508945465,0.12105722725391388,0.9926459789276123,0.11674808710813522
f81,0,block128_oracle,1024,1024,32,32760,0.03321123321123321,0.27559563517570496,0.10107254236936569,0.9948794841766357,0.11674808710813522
f81,0,block128_oracle,1024,1024,64,32760,0.035164835164835165,0.1957884132862091,0.07229284942150116,0.9973835945129395,0.11674808710813522
f81,1,token_topk_oracle,64,64,8,32760,0.002442002442002442,0.382251113653183,0.1458750069141388,0.989346444606781,0.4239906668663025
f81,1,token_topk_oracle,64,64,16,32760,0.0029304029304029304,0.3660900890827179,0.1278924196958542,0.991797149181366,0.4239906668663025
f81,1,token_topk_oracle,64,64,32,32760,0.003907203907203907,0.34056517481803894,0.11204978823661804,0.9937025308609009,0.4239906668663025
f81,1,token_topk_oracle,64,64,64,32760,0.005860805860805861,0.3045196235179901,0.0991688147187233,0.9950754046440125,0.4239906668663025
f81,1,block16_oracle,64,64,8,32760,0.002442002442002442,0.7355925440788269,0.2663803696632385,0.9638838768005371,0.18596988916397095
f81,1,block16_oracle,64,64,16,32760,0.0029304029304029304,0.7128140926361084,0.2506575882434845,0.968083381652832,0.18596988916397095
f81,1,block16_oracle,64,64,32,32760,0.003907203907203907,0.6738646626472473,0.23527349531650543,0.9719321727752686,0.18596988916397095
f81,1,block16_oracle,64,64,64,32760,0.005860805860805861,0.6112253069877625,0.2123512178659439,0.9771934151649475,0.18596988916397095
f81,1,block32_oracle,64,64,8,32760,0.002442002442002442,0.8278021216392517,0.3130861520767212,0.9497307538986206,0.10684387385845184
f81,1,block32_oracle,64,64,16,32760,0.0029304029304029304,0.8025341629981995,0.2851111590862274,0.9584963321685791,0.10684387385845184
f81,1,block32_oracle,64,64,32,32760,0.003907203907203907,0.7588170766830444,0.2658897638320923,0.96400386095047,0.10684387385845184
f81,1,block32_oracle,64,64,64,32760,0.005860805860805861,0.6874442100524902,0.24127717316150665,0.9704562425613403,0.10684387385845184
f81,1,block64_oracle,64,64,8,32760,0.002442002442002442,0.8733634352684021,0.3757314085960388,0.9267529249191284,0.08352574706077576
f81,1,block64_oracle,64,64,16,32760,0.0029304029304029304,0.8472046852111816,0.3142301142215729,0.9493530988693237,0.08352574706077576
f81,1,block64_oracle,64,64,32,32760,0.003907203907203907,0.8018741607666016,0.2935124635696411,0.9559585452079773,0.08352574706077576
f81,1,block64_oracle,64,64,64,32760,0.005860805860805861,0.7274515628814697,0.2663177251815796,0.9638855457305908,0.08352574706077576
f81,1,block128_oracle,64,128,8,32760,0.004395604395604396,0.835295557975769,0.3526078462600708,0.9358097314834595,0.12256592512130737
f81,1,block128_oracle,64,128,16,32760,0.004884004884004884,0.8101776838302612,0.3024246394634247,0.9531826972961426,0.12256592512130737
f81,1,block128_oracle,64,128,32,32760,0.005860805860805861,0.7669299244880676,0.28224772214889526,0.959344744682312,0.12256592512130737
f81,1,block128_oracle,64,128,64,32760,0.007814407814407814,0.6962683796882629,0.25891056656837463,0.9659015536308289,0.12256592512130737
f81,1,token_topk_oracle,128,128,8,32760,0.004395604395604396,0.22810617089271545,0.09483616799116135,0.9955396056175232,0.5844748616218567
f81,1,token_topk_oracle,128,128,16,32760,0.004884004884004884,0.21663831174373627,0.07852234691381454,0.9969202280044556,0.5844748616218567
